Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,1.053075,1.054074,1.046572,1.052698,1.052698,0
2017-01-03,1.045916,1.049208,1.034768,1.046003,1.046003,0
2017-01-04,1.041840,1.047889,1.039134,1.041992,1.041992,0
2017-01-05,1.049869,1.060895,1.048658,1.050089,1.050089,0
2017-01-06,1.060558,1.060895,1.053963,1.060592,1.060592,0
2017-01-09,1.053408,1.056078,1.051348,1.053186,1.053186,0
2017-01-10,1.058761,1.062586,1.056189,1.058862,1.058862,0
2017-01-11,1.055409,1.056747,1.045697,1.055242,1.055242,0
2017-01-12,1.059659,1.068604,1.057530,1.059771,1.059771,0
2017-01-13,1.061797,1.066780,1.060000,1.061684,1.061684,0
2017-01-16,1.062688,1.063343,1.058134,1.062869,1.062869,0
2017-01-17,1.060389,1.071800,1.060142,1.060299,1.060299,0
2017-01-18,1.069782,1.071467,1.065962,1.069679,1.069679,0
2017-01-19,1.062948,1.067680,1.058974,1.062778,1.062778,0
2017-01-20,1.066132,1.069519,1.062677,1.065973,1.065973,0
2017-01-23,1.071146,1.075616,1.070836,1.071375,1.071375,0
2017-01-24,1.075755,1.077284,1.072777,1.076079,1.076079,0
2017-01-25,1.072789,1.076878,1.071214,1.072869,1.072869,0
2017-01-26,1.075500,1.076658,1.067065,1.075199,1.075199,0
2017-01-27,1.068285,1.072478,1.066053,1.068296,1.068296,0
2017-01-30,1.071915,1.074033,1.062090,1.071398,1.071398,0
2017-01-31,1.070710,1.081034,1.068604,1.070859,1.070859,0
2017-02-01,1.080264,1.080847,1.073941,1.080380,1.080380,0
2017-02-02,1.076844,1.082661,1.076844,1.076739,1.076739,0
2017-02-03,1.076334,1.079715,1.072892,1.076171,1.076171,0
2017-02-06,1.078341,1.078888,1.070664,1.078295,1.078295,0
2017-02-07,1.074322,1.074345,1.065678,1.074322,1.074322,0
2017-02-08,1.067897,1.070744,1.064215,1.067806,1.067806,0
2017-02-09,1.069210,1.071008,1.065735,1.069221,1.069221,0
2017-02-10,1.065689,1.066894,1.060985,1.065859,1.065859,0
2017-02-13,1.061932,1.065803,1.059345,1.061954,1.061954,0
2017-02-14,1.059917,1.063321,1.056178,1.059850,1.059850,0
2017-02-15,1.057865,1.058795,1.052211,1.057832,1.057832,0
2017-02-16,1.060187,1.067475,1.060052,1.060738,1.060738,0
2017-02-17,1.066701,1.067692,1.062586,1.067225,1.067225,0
2017-02-20,1.062677,1.063151,1.060524,1.062665,1.062665,0
2017-02-21,1.061030,1.061256,1.052665,1.060940,1.060940,0
2017-02-22,1.054218,1.055621,1.049681,1.054207,1.054207,0
